,Grouped Route IDs,Route ID,From ID,From - Common Name,From - Longitude,From - Latitude,To ID,To - Common Name,To - Longitude,To - Latitude
0,rsf_0000,rl_0000_1,450014329,Windermere Drive Loweswater Road,-1.253094,53.696774,450014330,Windermere Drive Ennerdale Drive,-1.256825,53.697346
1,rsf_0000,rl_0000_2,450014330,Windermere Drive Ennerdale Drive,-1.256825,53.697346,450014327,Sycamore Avenue Crummock Place,-1.256822,53.699224
2,rsf_0000,rl_0000_3,450014327,Sycamore Avenue Crummock Place,-1.256822,53.699224,450014325,Hazel Road Cedar Walk,-1.257900,53.700813
3,rsf_0000,rl_0000_4,450014325,Hazel Road Cedar Walk,-1.257900,53.700813,450014322,Hazel Road Kershaw Lane,-1.258086,53.703169
4,rsf_0000,rl_0000_5,450014322,Hazel Road Kershaw Lane,-1.258086,53.703169,450014321,Spawd Bone Lane Hazel Road,-1.255955,53.704639
5,rsf_0000,rl_0000_6,450014321,Spawd Bone Lane Hazel Road,-1.255955,53.704639,450014333,The Ridgeway Spawd Bone Lane,-1.250291,53.705374
6,rsf_0000,rl_0000_7,450014333,The Ridgeway Spawd Bone Lane,-1.250291,53.705374,450014332,Eastfield Avenue,-1.248204,53.703456
7,rsf_0000,rl_0000_8,450014332,Eastfield Avenue,-1.248204,53.703456,450014331,Eastfield Avenue,-1.245773,53.703863
8,rsf_0000,rl_0000_9,450014331,Eastfield Avenue,-1.245773,53.703863,450014317,Spawd Bone Lane England Lane,-1.244150,53.705670
9,rsf_0000,rl_0000_10,450014317,Spawd Bone Lane England Lane,-1.244150,53.705670,450014313,Spawd Bone Lane High School,-1.239903,53.705149
10,rsf_0000,rl_0000_11,450014313,Spawd Bone Lane High School,-1.239903,53.705149,450013497,Womersley Road Weeland Rd,-1.239596,53.706199
11,rsf_0000,rl_0000_12,450013497,Womersley Road Weeland Rd,-1.239596,53.706199,450013495,Weeland Road England Lane,-1.243155,53.707093
12,rsf_0000,rl_0000_13,450013495,Weeland Road England Lane,-1.243155,53.707093,450014341,Town Hall,-1.245125,53.709649
13,rsf_0000,rl_0000_14,450014341,Town Hall,-1.245125,53.709649,450013492,Hill Top Forge Hill Ln,-1.252242,53.708993
14,rsf_0000,rl_0000_15,450013492,Hill Top Forge Hill Ln,-1.252242,53.708993,450022296,Ferrybridge Road Hill Top,-1.257993,53.708436
15,rsf_0000,rl_0000_16,450022296,Ferrybridge Road Hill Top,-1.257993,53.708436,450022298,Fishergate Vale Crescent,-1.263037,53.710255
16,rsf_0000,rl_0000_17,450022298,Fishergate Vale Crescent,-1.263037,53.710255,450022300,Fishergate Pinders Garth,-1.265093,53.711373
17,rsf_0000,rl_0000_18,450022300,Fishergate Pinders Garth,-1.265093,53.711373,450021201,Argyle Road Broughtons Yard,-1.267498,53.712458
18,rsf_0000,rl_0000_19,450021201,Argyle Road Broughtons Yard,-1.267498,53.712458,450021202,The Square,-1.268708,53.713499
19,rsf_0000,rl_0000_20,450021202,The Square,-1.268708,53.713499,450013442,Arncliffe Drive St Andrews Drive,-1.271882,53.711233
20,rsf_0000,rl_0000_21,450013442,Arncliffe Drive St Andrews Drive,-1.271882,53.711233,450013441,Arncliffe Drive Sandringham Avenue,-1.274245,53.708641
21,rsf_0000,rl_0000_22,450013441,Arncliffe Drive Sandringham Avenue,-1.274245,53.708641,450013440,Arncliffe Drive Mill View,-1.276791,53.707730
22,rsf_0000,rl_0000_23,450013440,Arncliffe Drive Mill View,-1.276791,53.707730,450013439,Wordsworth Drive Houghton Avenue,-1.278149,53.709788
23,rsf_0000,rl_0000_24,450013439,Wordsworth Drive Houghton Avenue,-1.278149,53.709788,450013438,Pontefract Road Hampden Close,-1.277463,53.710925
24,rsf_0000,rl_0000_25,450013438,Pontefract Road Hampden Close,-1.277463,53.710925,450013435,Castleford Lane Pontefract Rd,-1.273788,53.712370
25,rsf_0000,rl_0000_26,450013435,Castleford Lane Pontefract Rd,-1.273788,53.712370,450026145,Castleford Lane Richmond Avenue,-1.274632,53.713472
26,rsf_0000,rl_0000_27,450026145,Castleford Lane Richmond Avenue,-1.274632,53.713472,450013414,Stranglands Lane Castleford Lane,-1.276527,53.714310
27,rsf_0000,rl_0000_28,450013414,Stranglands Lane Castleford Lane,-1.276527,53.714310,450025182,Sheepwalk Lane Holmfield Lane,-1.294458,53.715765
28,rsf_0000,rl_0000_29,450025182,Sheepwalk Lane Holmfield Lane,-1.294458,53.715765,450013417,Sheepwalk Lane Hillcrest Avenue,-1.305839,53.716614
29,rsf_0000,rl_0000_30,450013417,Sheepwalk Lane Hillcrest Avenue,-1.305839,53.716614,450013419,Sheepwalk Lane Davis Avenue,-1.308053,53.717391
30,rsf_0000,rl_0000_31,450013419,Sheepwalk Lane Davis Avenue,-1.308053,53.717391,450013421,Sheepwalk Ln Poplar Avenue,-1.310714,53.717748
31,rsf_0000,rl_0000_32,450013421,Sheepwalk Ln Poplar Avenue,-1.310714,53.717748,450013433,Sheepwalk Lane Gypsy Lane,-1.314486,53.717850
32,rsf_0000,rl_0000_33,450013433,Sheepwalk Lane Gypsy Lane,-1.314486,53.717850,450024398,Sheepwalk Lane Woodlands Avenue,-1.316779,53.717549
33,rsf_0000,rl_0000_34,450024398,Sheepwalk Lane Woodlands Avenue,-1.316779,53.717549,450013382,Fryston Road Redhill Drive,-1.321118,53.718139
34,rsf_0000,rl_0000_35,450013382,Fryston Road Redhill Drive,-1.321118,53.718139,450013381,Fryston Road Henson Grove,-1.321918,53.719276
35,rsf_0000,rl_0000_36,450013381,Fryston Road Henson Grove,-1.321918,53.719276,450023762,Fryston Road Milnes Grove,-1.320008,53.721207
36,rsf_0000,rl_0000_37,450023762,Fryston Road Milnes Grove,-1.320008,53.721207,450029011,Fryston Road Kershaw Avenue,-1.317270,53.722719
37,rsf_0000,rl_0000_38,450029011,Fryston Road Kershaw Avenue,-1.317270,53.722719,450013376,Airedale The Square B,-1.314694,53.723639
38,rsf_0000,rl_0000_39,450013376,Airedale The Square B,-1.314694,53.723639,450013399,Stansfield Road Royds Avenue,-1.319058,53.725577
39,rsf_0000,rl_0000_40,450013399,Stansfield Road Royds Avenue,-1.319058,53.725577,450010274,Stansfield Road Ings View,-1.319626,53.727018
40,rsf_0000,rl_0000_41,450010274,Stansfield Road Ings View,-1.319626,53.727018,450013402,Stansfield Road Swale Drive,-1.321979,53.727715
41,rsf_0000,rl_0000_42,450013402,Stansfield Road Swale Drive,-1.321979,53.727715,450010275,Stansfield Road Stansfield Close,-1.324775,53.728198
42,rsf_0000,rl_0000_43,450010275,Stansfield Road Stansfield Close,-1.324775,53.728198,450026334,Wheldon Road Stansfield Road,-1.323964,53.732481
44,rsf_0000,rl_0000_44,450026334,Wheldon Road Stansfield Road,-1.323964,53.732481,450013341,Wheldon Road Fryston Road,-1.316078,53.734557
46,rsf_0000,rl_0000_45,450013341,Wheldon Road Fryston Road,-1.316078,53.734557,450010262,Colliery Village South View,-1.313454,53.736502
48,rsf_0000,rl_0000_46,450010262,Colliery Village South View,-1.313454,53.736502,450026339,Wheldon Road Silkstone,-1.314904,53.734973
50,rsf_0000,rl_0000_47,450026339,Wheldon Road Silkstone,-1.314904,53.734973,450013340,Wheldon Road Fryston Road,-1.316280,53.734280
52,rsf_0000,rl_0000_48,450013340,Wheldon Road Fryston Road,-1.316280,53.734280,450013339,Wheldon Road Stansfield Road,-1.324407,53.732241
54,rsf_0000,rl_0000_49,450013339,Wheldon Road Stansfield Road,-1.324407,53.732241,450013336,Wheldon Road Smith Street,-1.338134,53.730735
56,rsf_0000,rl_0000_50,450013336,Wheldon Road Smith Street,-1.338134,53.730735,450013334,Wheldon Road Princess Street,-1.341736,53.730144
57,rsf_0000,rl_0000_51,450013334,Wheldon Road Princess Street,-1.341736,53.730144,450010261,The Garden House PH,-1.347950,53.728191
58,rsf_0000,rl_0000_52,450010261,The Garden House PH,-1.347950,53.728191,450018666,Aire Street A3,-1.352416,53.727543
59,rsf_0000,rl_0000_53,450018666,Aire Street A3,-1.352416,53.727543,450018671,Bank Street B4,-1.353795,53.726598
60,rsf_0000,rl_0000_54,450018671,Bank Street B4,-1.353795,53.726598,450030338,Castleford Bus Station G,-1.357964,53.724589
61,rsf_0001,rl_0001_1,450030338,Castleford Bus Station G,-1.357964,53.724589,450018669,B1 Bank Street,-1.353815,53.726274
62,rsf_0001,rl_0001_2,450018669,B1 Bank Street,-1.353815,53.726274,450018661,Aire Street A1,-1.351899,53.727666
63,rsf_0001,rl_0001_3,450018661,Aire Street A1,-1.351899,53.727666,450013333,The Garden House PH,-1.348100,53.728309
64,rsf_0001,rl_0001_4,450013333,The Garden House PH,-1.348100,53.728309,450013335,Wheldon Road Princess Street,-1.341719,53.730279
65,rsf_0001,rl_0001_5,450013335,Wheldon Road Princess Street,-1.341719,53.730279,450013337,Wheldon Road Smith Street,-1.338072,53.730834
66,rsf_0001,rl_0001_6,450013337,Wheldon Road Smith Street,-1.338072,53.730834,450013338,Wheldon Road Skew Bridge,-1.328274,53.732163
43,rsf_0001,rl_0001_7,450013338,Wheldon Road Skew Bridge,-1.328274,53.732163,450026334,Wheldon Road Stansfield Road,-1.323964,53.732481
