operator,noc,single catch
1st Bus Stop Ltd,FBSM,
4K Travel,NAKL,
A1 Coaches,A1CO,
A1 Coaches,A1CS,
A1 Coaches,AOLC,
A2B Travel Group Ltd,A2BR,
A2B Travel (UK) Limited,A2BV,
A&A Coach Travel Ltd,AACT,
A and J Taxis,AJTX,
Aaron's of Wick,ARSH,
Abbey Coaches,ABYD,
Abbotts of Leeming,ABBL,
A B Coaches Ltd,NABC,
Abellio London,ABLO,
Abellio London,ABSU,
Abus,ABUS,
Acklams Coaches,ACKC,
Acklams Coaches,BKNG,
Acme Bus Co,ACME,
AC Williams,WMSA,
Aintree Coaches,AINT,
Airport Parking & Hotels Ltd,APHL,
A & J Coaches,AJCO,
A-Line Coaches,ALCG,
Alpha Coaches,ALPA,
Al's Coaches,ALSC,
Altonian Coaches Limted,ALTO,
A Lyles & Son,LNGS,
Ambassador Travel,AMBS,
Ambassador Travel,SEMM,
A & M Group - Flexibus,AAMG,
A & M Group - Flexibus,AMGR,
A & M Group - Flexibus,AMMG,
AMK,AMKC,
Amvale Coaches,AMVA,
Andersons of Langholm,ANDL,
Anita's Coaches,ANIT,
ANSA ENVIRONMENTAL SERVICES LIMITED,5432,
AOT Coaches,AOT,
APT Coaches Ltd,APTC,
Arriva UK Bus,ACYM,
Arriva UK Bus,ADER,
Arriva UK Bus,AFCL,
Arriva UK Bus,AKSS,
Arriva UK Bus,ALIV,
Arriva UK Bus,ALNO,
Arriva UK Bus,ALSO,
Arriva UK Bus,AMAN,
Arriva UK Bus,AMID,
Arriva UK Bus,AMNO,
Arriva UK Bus,AMSY,
Arriva UK Bus,AMTM,
Arriva UK Bus,AMTN,
Arriva UK Bus,ANEA,
Arriva UK Bus,ANUM,
Arriva UK Bus,ANWE,
Arriva UK Bus,APBB,
Arriva UK Bus,ARBB,
Arriva UK Bus,ARDU,
Arriva UK Bus,ARHE,
Arriva UK Bus,ARVA,
Arriva UK Bus,ASCN,
Arriva UK Bus,ASES,
Arriva UK Bus,ASOU,
Arriva UK Bus,ASWS,
Arriva UK Bus,AVCH,
Arriva UK Bus,AVLO,
Arriva UK Bus,CBLL,
Arriva UK Bus,FAST,
Arriva UK Bus,GBAK,
Arriva UK Bus,GLAH,
Arriva UK Bus,GLAR,
Arriva UK Bus,GLNK,
Arriva UK Bus,GLTB,
Arriva UK Bus,GLTG,
Arriva UK Bus,GRLN,
Arriva UK Bus,HBSY,
Arriva UK Bus,HINB,
Arriva UK Bus,HUDB,
Arriva UK Bus,MKMT,
Arriva UK Bus,NECO,
Arriva UK Bus,NETH,
Arriva UK Bus,TGMS,
Arriva UK Bus,WRAY,
Arriva UK Bus,YTIG,
Arrow Taxi,ARWT,
Aschrofts Travel,ASHT,
ASD Coaches,ASDC,
Ashbourne Little Bus Co,ASCT,
Ashcrofts Mini Travel,ASMT,
Aston Coaches,ASTC,
ASTRA COACH TRAVEL LTD T/A EAGLE LINE TRAVEL,ACTL,
Atlantic Travel,ATGB,
Autocar Bus & Coach Services,AUTO,
Avacab,AVAC,
Awayadays,AWAY,
Axe Valley Mini Travel,AVMT,
Banga Buses,BANG,
Banga Buses,BBSR,
BARKER BUS LTD,BARKER BUS LTD,
Bath Bus Company,BBCL,
Bath Bus Company,CSIT,
Bath & North East Somerset Council,BNSC,
Bayliss Executive Travel,BLET,
Bear Buses,BEAR,
Beeline Coaches,BZCO,
Beestons,BEES,
Belle Coaches,BLCO,
Belle Vue,BEVC,
Bennetts Coaches Limited,BNNT,
Bennetts Travel,BENC,
Berry's Coaches,BYCO,
Bestway Minibuses,BESW,
BIBBY'S OF INGLETON LTD,BOIN,
BJ Travel,BJTR,
Blackburn Private Hire,BLPH,
Black Cat Travel Ltd,BLCT,
Blackpool Coach Hire,BLCK,
Blackpool Transport,BLAC,
Bland's (Rutland) Ltd,MBTR,
Blue Buses,SCRT,
Blueworks Taxis Ltd,BPHI,
BM Coaches and Rental Ltd,BMCS,
Border Bus,BDRB,
Border Rambler,BRCS,
Bouden Coach Travel,5345,
Bradshaws,BRSH,
Brethertons,BGLT,
Brian Jones Coaches,BJCO,
Britannia Bus,BTNA,
Britannia Bus,MRBU,
Britannia Coaches,CARL,
Britannia Luxury Coaches,BRIT,
"Brookline Coaches Ltd,",BRLN,
Brylaine Travel,BRYL,
Buckland Buses,BUCK,
Bullocks Coaches,BULL,
CallConnect,CALC,
Calne Travel,NKKW,
Caradoc Coaches,CARA,
Cardinal Buses,CARD,
Carlone Buses,CLNB,
Catteralls,CTLL,
Cavern City Tours,CAVE,
Celtic Travel,CELT,
Centaur Coaches,CNTC,
Centrebus,CBBH,
Centrebus,CBNL,
CENTURION TRAVEL LTD,CTLT,
C G Myall & Son,MYAL,
Chalkwell,CHLK,
Chandlers Coach Travel,CDCT,
Charltons,CHAR,
Chepstow Classic Buses,CHCB,
Chiltern Automotive Limited,CHAU,
Citistar limited,NCSL,
Clarkes of London,CLKL,
Clearway of Catshill,CLER,
Clearway of Catshill,CRWY,
Coach Events Services Ltd,COEV,
Coach Hire Executive Travel Ltd,BVTE,
Coach Langtoft,CRLY,
Coach Langtoft,LANT,
Coach Services,CSVC,
Coach Services,CSVS,
Coachstyle,COAC,
Coastal Coaches,COAS,
Coastal Coaches,CSTL,
